period,1101,1102,1104,1201,1210,1215,1216,1227,1229,1232,1234,1262,1301,1303,1304,1305,1308,1310,1312,1313,1314,1319,1326,1337,1402,1409,1419,1434,1440,1451,1476,1477,1503,1504,1507,1513,1520,1532,1536,1560,1565,1589,1590,1604,1605,1702,1704,1707,1710,1717,1718,1722,1723,1729,1736,1773,1785,1789,1795,1802,1808,1903,1904,1905,1907,1909,2002,2006,2014,2015,2023,2027,2035,2049,2059,2101,2103,2104,2105,2106,2107,2108,2201,2204,2206,2207,2208,2211,2227,2231,2239,2247,2301,2303,2308,2311,2312,2313,2317,2323,2324,2325,2327,2328,2330,2331,2332,2337,2338,2340,2342,2343,2344,2345,2347,2349,2350,2351,2352,2353,2354,2355,2356,2357,2360,2362,2363,2368,2371,2373,2374,2376,2377,2379,2382,2383,2384,2385,2386,2388,2391,2392,2393,2394,2395,2396,2401,2404,2408,2409,2411,2412,2418,2428,2439,2441,2446,2448,2449,2450,2451,2452,2454,2455,2456,2458,2474,2475,2481,2485,2489,2492,2495,2498,2499,2501,2504,2511,2514,2515,2520,2526,2534,2539,2542,2545,2547,2548,2597,2601,2603,2605,2606,2607,2608,2609,2610,2612,2615,2617,2618,2633,2634,2637,2704,2707,2723,2727,2801,2807,2808,2809,2812,2820,2822,2823,2833,2834,2837,2838,2845,2847,2849,2854,2855,2856,2867,2880,2881,2882,2883,2884,2885,2886,2887,2888,2889,2890,2891,2892,2897,2903,2905,2912,2913,2915,2923,3005,3006,3007,3008,3009,3010,3012,3016,3017,3019,3022,3023,3026,3034,3035,3036,3037,3041,3042,3044,3045,3049,3051,3059,3060,3061,3062,3080,3081,3083,3105,3149,3152,3176,3189,3211,3218,3227,3228,3231,3260,3264,3293,3311,3367,3374,3376,3406,3413,3443,3450,3452,3474,3481,3504,3514,3515,3518,3519,3529,3532,3533,3534,3545,3552,3561,3573,3576,3591,3592,3596,3622,3653,3658,3661,3665,3673,3680,3682,3691,3697,3698,3702,3703,3704,3706,3707,3711,3714,4105,4123,4128,4137,4142,4147,4152,4157,4162,4174,4180,4414,4532,4551,4725,4743,4755,4770,4904,4906,4915,4919,4927,4938,4943,4958,4960,4961,4966,4968,5007,5009,5203,5263,5264,5269,5274,5304,5306,5346,5347,5351,5371,5387,5388,5425,5434,5469,5478,5483,5522,5530,5531,5534,5608,5820,5854,5871,5876,5880,5903,5904,5907,6004,6005,6008,6116,6120,6121,6138,6146,6147,6166,6176,6182,6188,6191,6196,6202,6213,6214,6239,6244,6257,6269,6271,6274,6278,6282,6285,6286,6409,6411,6412,6414,6415,6446,6452,6456,6462,6464,6469,6488,6491,6492,6505,6510,6531,6533,6541,6547,6548,6550,6561,6589,6592,6605,6669,6670,6719,6732,6741,6756,6770,6781,8008,8016,8044,8046,8069,8070,8072,8076,8078,8081,8086,8112,8131,8150,8163,8255,8299,8341,8404,8406,8415,8422,8436,8454,8464,8926,910322,9802,9904,9907,9910,9914,9915,9917,9921,9925,9930,9933,9938,9939,9940,9941,9945,9958
2025-08,1740.1,1314.0,202.9,79.0,475.1,392.1,4397.9,275.9,890.8,238.4,158.5,,2479.4,3426.1,123.6,68.3,71.5,48.0,110.6,138.0,270.6,600.4,1764.2,14.1,1477.4,241.1,159.6,265.3,225.3,35.1,1100.3,662.4,1044.6,1454.4,,862.8,,103.5,192.9,511.3,73.3,29.5,1578.0,94.9,1010.3,116.5,,191.0,108.5,516.1,111.8,523.3,194.3,,436.9,421.5,351.1,140.7,516.6,1026.6,298.7,138.6,198.4,134.0,415.1,132.8,3170.4,463.7,230.4,388.5,293.8,1005.3,101.5,755.4,2882.8,333.6,141.2,109.3,1231.7,196.7,73.3,123.8,352.6,321.6,519.2,3069.6,262.5,373.3,166.8,153.6,37.1,251.4,3043.3,5085.3,18468.2,,283.7,966.5,28269.6,97.7,1218.6,,2891.6,304.8,300818.2,108.1,109.3,373.0,133.9,99.6,33.3,,886.5,5695.2,1097.5,75.6,,161.7,611.9,900.7,1005.7,161.6,1476.3,4694.5,2471.0,261.4,288.4,2541.2,856.0,134.6,229.2,1855.6,1140.6,2738.9,10139.3,4337.1,,1048.9,,348.9,,244.9,302.8,,2972.8,,148.6,2344.4,1456.3,969.8,,10278.6,,194.1,272.9,340.7,,,1907.4,76.3,435.0,,21974.8,289.4,,363.2,1223.6,,246.1,42.3,93.5,400.3,59.0,588.1,,244.7,440.1,149.0,60.2,171.5,214.8,,101.7,584.7,865.5,153.6,114.9,319.7,473.8,49.2,4016.1,134.1,475.8,364.4,159.9,2014.9,1289.8,106.3,2323.5,115.8,2098.1,1553.4,587.7,452.3,160.5,244.6,147.2,185.5,2259.1,,,614.5,1261.3,222.9,,,,1467.4,,753.7,577.2,,258.4,,333.9,,316.9,3882.8,12807.9,9964.5,2830.1,5410.2,4332.6,5940.8,4770.6,,563.2,3069.4,8291.9,4076.6,275.0,295.4,140.9,2645.8,115.3,597.4,391.6,949.2,163.4,,3210.7,,258.6,,105.7,3920.8,460.7,124.3,559.4,141.8,2647.0,411.7,1545.2,2210.4,40.5,302.5,1689.8,3965.3,52.9,39.0,153.8,28.6,,84.7,,444.0,29.1,393.0,89.1,90.0,41.9,518.2,555.5,153.7,294.7,105.1,3553.2,333.9,364.2,2155.8,36.2,,371.8,516.9,512.8,317.0,1782.2,295.8,,,1122.5,67.8,,344.2,22.6,,1542.6,325.8,1636.9,,152.2,66.3,,,103.9,27.3,225.4,522.3,84.0,2993.8,,3284.6,2096.3,165.1,308.2,,75.3,,,1125.0,191.8,139.8,1288.8,176.3,6677.4,287.8,190.9,269.7,142.1,92.8,78.2,221.3,,68.8,97.9,82.1,,28.0,122.9,193.5,,335.7,127.4,230.0,3036.0,107.6,387.9,263.2,71.3,1868.4,12.5,1879.9,80.6,215.3,625.6,139.7,153.3,230.5,76.0,62.8,,1232.6,1888.1,,117.3,,1708.7,112.2,480.9,,316.5,135.2,560.9,436.6,160.0,663.6,480.7,226.9,90.4,219.5,68.9,,,2168.6,1993.3,3716.4,431.9,494.6,11.7,,473.3,,222.9,74.9,729.8,133.7,179.9,399.1,140.9,667.3,138.0,345.2,719.0,565.8,93.0,497.3,319.8,903.3,69.1,409.4,219.8,236.3,1059.1,314.3,246.4,614.9,,868.2,73.5,420.8,442.8,1203.2,1699.0,,212.9,116.9,98.2,209.4,1778.5,248.4,32.0,3824.7,408.4,502.4,144.5,141.1,127.7,321.6,300.9,333.8,186.5,499.7,239.6,5509.0,370.4,198.3,92.2,95.3,64.5,666.0,1152.9,,252.2,69.3,1421.6,3025.8,316.2,31.0,76.0,,200.8,221.1,239.9,115.0,174.6,101.4,127.8,1010.3,96.9,87.3,,353.8,226.1,160.1,670.5,1267.2,341.8,5.2,214.1,850.2,289.8,1160.3,339.4,,505.3,411.7,158.1,178.7,275.8,160.0,409.7,177.6,687.1,857.5,471.4
2025-09,1860.3,1353.0,210.5,77.9,463.5,414.2,4454.7,276.4,874.7,236.0,153.3,,2454.0,3128.7,120.1,66.2,69.8,45.8,107.5,142.1,275.9,552.5,1743.7,13.7,1488.1,229.0,169.5,256.1,222.8,35.2,1203.2,715.4,948.2,2260.0,,782.3,,115.2,176.3,492.8,70.1,31.4,1506.0,95.9,1149.9,116.6,,192.5,108.9,479.0,109.6,482.2,193.8,,527.9,405.0,371.3,149.8,692.9,796.8,284.8,137.3,194.0,132.3,423.4,132.8,3060.0,443.2,227.5,379.8,300.5,995.0,101.5,762.4,3135.4,279.2,133.8,106.3,1220.4,193.8,72.6,116.0,373.4,352.1,496.0,3303.6,308.4,403.3,166.8,162.4,41.9,242.9,3996.5,5719.4,22182.7,,292.8,874.8,30162.7,98.0,1427.9,,3523.8,281.4,338419.1,121.0,105.1,465.3,127.6,120.4,50.4,,1532.3,5863.5,1054.1,71.5,,146.6,,943.3,994.4,138.7,1641.3,4984.2,2462.5,258.6,295.1,2200.1,833.4,135.6,280.1,2003.0,980.1,2821.0,11201.5,4379.4,,1048.9,,308.9,,242.6,283.3,,2757.4,,137.6,1707.8,2262.0,1030.2,,10356.1,,219.1,257.6,358.9,,,2005.2,73.7,473.8,,21091.3,297.7,,395.1,1184.6,,270.5,42.1,,507.7,61.0,498.3,,271.3,428.9,148.4,58.6,162.3,219.4,,102.2,579.3,833.4,162.7,114.9,306.6,478.5,47.4,3875.4,135.2,482.6,,160.4,1850.8,1268.5,106.1,2084.9,114.3,2057.6,1581.6,530.3,438.1,158.0,253.5,133.2,194.4,2312.0,,,,1344.2,218.2,,,,1530.6,,815.0,605.7,,257.4,,373.9,,345.1,4119.4,13781.2,10628.8,2774.5,5394.0,4645.9,6304.2,5284.4,,559.6,3279.3,8644.5,4292.3,276.2,318.1,134.4,2578.2,111.0,578.7,378.5,965.3,208.9,,3137.3,,247.5,,166.8,3808.2,442.5,117.3,552.2,160.9,2595.3,413.1,1765.5,2317.5,39.5,311.8,1579.4,4058.4,53.9,37.2,159.7,35.5,,78.4,,420.9,28.8,393.8,94.0,88.0,40.4,491.1,574.4,134.7,363.5,111.5,4468.5,511.5,416.7,2217.8,34.9,,389.5,509.1,482.4,329.8,1795.6,396.3,,,1150.4,68.2,,345.5,21.6,,1505.2,393.6,1738.1,,147.4,65.7,,,112.0,26.4,211.0,483.8,82.3,3489.7,,2806.7,2008.5,160.4,330.7,,70.6,,,1109.9,187.3,140.1,1164.0,227.2,7252.4,289.6,194.7,281.7,135.9,85.8,81.4,206.8,,62.5,97.6,68.8,,30.3,123.7,153.8,,328.9,124.4,238.4,3187.4,107.3,370.4,264.5,71.1,1899.0,11.9,1727.4,81.8,207.4,593.5,136.9,154.5,215.7,78.2,62.1,,1107.0,1908.9,,108.7,,1904.4,111.5,428.1,,303.4,144.9,603.8,444.9,170.1,743.8,484.6,233.6,89.5,221.5,67.2,,,2075.5,2044.3,3865.3,429.7,499.0,11.6,,535.1,,239.6,68.9,684.5,166.2,182.4,412.5,133.2,667.3,174.7,318.8,599.2,533.0,96.4,384.8,329.4,1108.3,67.5,440.3,201.4,242.6,907.0,305.6,260.7,564.0,,813.0,72.1,400.0,404.9,1002.1,1762.3,,211.9,116.4,98.0,193.0,2230.3,249.2,36.8,3867.6,631.4,553.7,155.6,136.8,127.4,326.8,283.9,320.2,215.3,499.0,218.9,6159.3,363.8,222.6,109.8,95.6,61.2,1066.1,990.6,,260.6,65.7,1460.4,2767.0,289.3,27.9,73.3,,201.3,226.0,247.1,140.4,211.6,103.3,139.0,1458.6,101.8,105.8,,346.1,229.5,138.3,640.0,1243.8,348.0,4.9,200.8,850.2,282.7,1214.6,303.5,,503.1,372.1,158.3,177.4,282.5,161.2,377.1,177.2,685.7,841.9,449.6
2025-10,1713.0,1287.4,212.9,76.2,465.3,403.9,4471.7,287.3,866.6,231.2,150.1,,2425.3,3291.3,123.0,64.5,74.5,44.6,116.0,137.0,284.2,572.0,1711.5,13.4,1418.5,216.1,169.2,251.0,208.8,32.9,1126.4,663.6,1039.4,2768.5,,769.7,,110.9,166.0,462.0,65.8,30.5,1822.0,94.5,1325.0,113.8,,182.9,105.8,478.9,105.4,471.9,192.8,,485.4,438.0,353.4,138.8,789.0,814.3,377.1,142.2,189.5,137.9,421.7,124.4,2933.8,458.6,212.5,368.2,284.1,948.4,98.9,790.7,3916.8,265.7,123.9,100.9,1034.0,191.5,72.1,109.8,352.0,322.7,481.7,3153.2,249.8,444.2,162.3,137.9,35.8,234.4,4158.7,5826.1,25845.1,,342.5,1040.4,35957.8,99.5,1456.5,,5161.3,291.3,388987.5,113.2,100.6,588.0,122.0,106.1,53.8,,2439.0,6059.9,947.4,69.2,,155.7,490.7,915.9,1011.4,130.4,1646.7,5177.3,3483.2,246.4,285.3,2356.8,778.6,136.3,278.8,1879.1,925.2,2641.4,11607.1,4872.9,,988.1,,292.2,,253.1,259.8,,2709.9,,127.6,1643.0,4105.6,917.0,,10162.2,,242.1,260.1,401.0,,,2653.3,75.0,570.7,,21011.1,256.1,,376.8,1237.8,,322.1,45.0,85.7,602.4,62.9,422.2,,265.0,427.2,144.8,58.0,235.0,203.0,,101.0,574.5,807.5,156.6,113.9,332.5,520.4,47.5,4189.3,141.7,470.7,305.7,156.9,2008.0,1216.8,112.8,2303.8,121.4,1954.9,1539.3,497.3,471.7,157.8,242.7,125.8,182.1,2329.7,,,,1288.6,223.6,,,,1491.7,,842.3,615.5,,258.4,,379.5,,426.5,4063.8,14233.9,10369.6,2950.6,4811.8,4599.3,5992.7,5489.9,,554.1,3717.3,8432.7,4105.3,276.5,306.8,158.8,2479.4,109.8,593.0,348.9,856.7,258.4,,2957.0,,234.5,,162.1,5531.9,438.3,118.5,507.8,189.1,2391.4,475.6,1796.9,2501.1,39.7,305.3,1794.9,4077.0,51.4,33.6,153.3,30.3,,88.0,,393.6,27.3,455.7,82.8,82.1,41.0,623.5,476.5,121.1,347.8,102.6,4786.5,645.1,458.3,2029.0,35.0,,415.2,414.1,472.8,405.9,2050.2,399.2,,,1062.6,62.5,,396.8,20.8,,1486.5,387.8,1552.5,,131.0,71.6,,,111.3,26.1,184.8,444.1,82.6,3097.0,,2834.4,2720.3,148.0,338.9,,62.3,,,1012.5,178.2,145.4,1327.2,216.5,10979.6,253.5,197.6,258.4,129.4,82.5,81.6,195.1,,65.3,103.6,65.5,,27.7,116.6,164.2,,310.7,109.3,198.4,3335.3,111.8,394.3,258.6,55.2,1990.2,14.1,1723.4,78.3,184.4,544.7,142.4,151.6,204.9,74.4,67.2,,1080.9,2067.7,,113.5,,1805.5,118.8,342.5,,297.7,144.9,658.0,459.5,159.2,801.5,421.3,218.5,88.6,228.5,68.3,,,1917.2,1925.2,3724.2,427.4,483.6,11.4,,530.8,,210.2,67.1,648.4,178.9,182.4,443.8,129.0,613.8,179.6,296.5,584.2,536.8,93.3,424.7,352.5,1313.2,65.8,505.7,204.3,262.4,1111.8,321.6,373.1,607.5,,1061.2,99.1,361.5,410.4,867.8,1704.2,,167.3,125.5,96.6,165.3,2428.7,265.6,40.8,4258.1,528.1,658.5,149.3,148.5,116.0,382.9,264.3,281.6,205.0,445.5,226.3,8110.2,338.0,198.3,93.2,87.0,57.9,1322.2,1007.7,,240.8,71.7,1877.2,2439.1,328.9,25.2,69.7,,201.3,218.1,366.5,167.8,233.1,100.8,141.5,2233.3,107.6,104.8,,345.6,274.3,133.6,618.8,1084.1,352.4,5.1,193.2,863.4,283.4,1204.8,299.0,,487.3,398.0,157.7,174.7,272.3,170.5,374.2,166.9,649.9,847.6,379.0
2025-11,1666.5,1335.3,205.3,75.9,468.9,396.5,4267.2,279.1,850.4,229.6,150.5,,2743.6,4480.9,130.8,66.5,76.6,46.5,114.9,136.3,331.2,594.5,1992.8,13.5,1512.2,255.7,190.5,271.2,234.4,34.7,1240.3,762.3,872.7,2295.6,,729.5,,110.5,160.4,459.8,64.5,27.1,1908.0,95.1,1384.8,113.1,,191.8,108.9,462.5,118.0,465.0,189.5,,455.1,414.0,346.3,136.4,773.0,940.8,,143.3,207.8,139.0,456.6,141.4,2831.3,444.7,208.9,366.4,277.4,982.0,100.6,682.8,3540.4,266.0,120.1,97.5,1045.4,195.3,72.6,111.8,417.8,325.0,497.3,3348.2,246.6,448.4,167.1,129.1,36.3,232.4,3764.8,5505.9,23793.1,,320.7,965.4,32955.5,105.1,1280.3,,4694.9,250.3,374724.6,115.7,95.1,730.3,114.1,109.2,47.5,,2979.0,5599.8,977.4,62.8,,153.9,436.2,873.2,939.2,121.4,1492.4,4531.1,3291.8,262.3,252.4,2718.8,677.5,133.7,265.5,1714.9,866.0,2551.7,10660.8,5195.4,,950.1,,283.9,,205.9,241.7,,2532.7,,122.2,1509.6,5159.2,871.7,,10239.8,,228.7,280.4,410.7,,,2610.5,75.0,857.1,,19728.0,279.2,,402.7,1309.6,,328.2,57.3,92.1,575.7,73.3,428.9,,248.7,413.0,138.3,57.2,274.1,204.2,,96.5,550.6,781.7,147.9,110.8,314.3,500.2,46.0,3929.5,137.0,462.3,304.6,157.8,1854.3,1165.1,102.9,2284.2,124.4,1836.1,1601.3,457.8,471.7,155.6,245.2,110.3,182.1,2370.8,,,,1285.6,219.6,,,,1520.9,,851.4,617.9,,255.5,,393.1,,425.4,4029.0,14327.5,10580.2,2932.0,4884.5,4692.6,5866.6,5533.9,,583.2,3847.7,8503.2,4047.8,276.2,331.6,159.9,2463.9,109.8,598.5,349.8,788.4,262.7,,2843.6,,268.5,,147.1,5512.4,378.3,117.3,511.4,169.2,2394.4,443.0,1864.7,2639.3,36.9,287.4,1600.5,4021.2,56.9,32.6,129.3,41.3,,80.2,,406.1,28.5,521.4,78.5,75.6,41.4,646.4,419.0,128.7,316.3,98.0,4389.0,677.7,428.4,2138.9,32.5,,367.7,362.2,504.9,331.5,2599.6,362.1,,,1034.6,56.9,,329.4,19.5,,1606.1,352.5,1361.3,,116.4,66.9,,,106.3,26.6,164.7,405.5,110.4,3715.0,,2927.7,3168.8,168.6,324.5,,62.9,,,1059.5,179.0,146.1,1230.3,184.5,9759.6,243.5,195.6,281.3,116.5,82.2,88.3,182.8,,67.0,103.6,72.0,,28.8,116.9,133.6,,291.5,103.7,175.2,3299.2,114.1,402.9,221.7,58.9,1939.2,21.7,1501.4,74.9,170.4,516.6,127.2,151.0,188.3,78.2,68.2,,950.0,2313.4,,114.0,,1689.7,149.6,341.7,,244.8,145.7,592.6,446.8,150.3,650.8,440.8,201.6,89.6,217.7,64.4,,,1870.7,1915.5,3779.1,425.2,468.7,11.1,,534.0,,213.2,63.2,639.2,178.9,164.6,400.6,121.4,565.0,165.3,264.2,569.2,511.7,86.4,390.2,325.3,1248.7,62.9,472.8,165.5,258.2,1186.8,288.9,349.6,486.5,,995.4,80.3,363.5,416.7,760.5,1598.1,,148.2,116.0,99.2,149.6,1824.0,251.2,37.2,5229.8,503.5,681.3,147.0,146.4,122.1,438.9,229.6,286.3,234.1,439.0,233.8,8082.3,335.3,207.3,87.0,90.0,56.0,1469.1,1123.0,,212.6,60.5,1760.9,2013.4,329.6,25.2,67.6,,181.5,216.2,418.7,204.3,330.3,88.5,125.7,2705.1,103.7,102.9,,349.7,280.6,141.8,632.0,1091.4,304.5,5.8,227.1,876.7,294.5,1264.0,279.6,,480.5,368.6,156.9,174.2,274.5,160.3,378.6,164.3,633.0,847.6,329.6
