period,1101,1102,1104,1201,1210,1215,1216,1227,1229,1232,1234,1262,1301,1303,1304,1305,1308,1310,1312,1313,1314,1319,1326,1337,1402,1409,1419,1434,1440,1451,1476,1477,1503,1504,1507,1513,1520,1532,1536,1560,1565,1589,1590,1604,1605,1702,1704,1707,1710,1717,1718,1722,1723,1729,1736,1773,1785,1789,1795,1802,1808,1903,1904,1905,1907,1909,2002,2006,2014,2015,2023,2027,2035,2049,2059,2101,2103,2104,2105,2106,2107,2108,2201,2204,2206,2207,2208,2211,2227,2231,2239,2247,2301,2303,2308,2311,2312,2313,2317,2323,2324,2325,2327,2328,2330,2331,2332,2337,2338,2340,2342,2343,2344,2345,2347,2349,2350,2351,2352,2353,2354,2355,2356,2357,2360,2362,2363,2368,2371,2373,2374,2376,2377,2379,2382,2383,2384,2385,2386,2388,2391,2392,2393,2394,2395,2396,2401,2404,2408,2409,2411,2412,2418,2428,2439,2441,2446,2448,2449,2450,2451,2452,2454,2455,2456,2458,2474,2475,2481,2485,2489,2492,2495,2498,2499,2501,2504,2511,2514,2515,2520,2526,2534,2539,2542,2545,2547,2548,2597,2601,2603,2605,2606,2607,2608,2609,2610,2612,2615,2617,2618,2633,2634,2637,2704,2707,2723,2727,2801,2807,2808,2809,2812,2820,2822,2823,2833,2834,2837,2838,2845,2847,2849,2854,2855,2856,2867,2880,2881,2882,2883,2884,2885,2886,2887,2888,2889,2890,2891,2892,2897,2903,2905,2912,2913,2915,2923,3005,3006,3007,3008,3009,3010,3012,3016,3017,3019,3022,3023,3026,3034,3035,3036,3037,3041,3042,3044,3045,3049,3051,3059,3060,3061,3062,3080,3081,3083,3105,3149,3152,3176,3189,3211,3218,3227,3228,3231,3260,3264,3293,3311,3367,3374,3376,3406,3413,3443,3450,3452,3474,3481,3504,3514,3515,3518,3519,3529,3532,3533,3534,3545,3552,3561,3573,3576,3591,3592,3596,3622,3653,3658,3661,3665,3673,3680,3682,3691,3697,3698,3702,3703,3704,3706,3707,3711,3714,4105,4123,4128,4137,4142,4147,4152,4157,4162,4174,4180,4414,4532,4551,4725,4743,4755,4770,4904,4906,4915,4919,4927,4938,4943,4958,4960,4961,4966,4968,5007,5009,5203,5263,5264,5269,5274,5304,5306,5346,5347,5351,5371,5387,5388,5425,5434,5469,5478,5483,5522,5530,5531,5534,5608,5820,5854,5871,5876,5880,5903,5904,5907,6004,6005,6008,6116,6120,6121,6138,6146,6147,6166,6176,6182,6188,6191,6196,6202,6213,6214,6239,6244,6257,6269,6271,6274,6278,6282,6285,6286,6409,6411,6412,6414,6415,6446,6452,6456,6462,6464,6469,6488,6491,6492,6505,6510,6531,6533,6541,6547,6548,6550,6561,6589,6592,6605,6669,6670,6719,6732,6741,6756,6770,6781,8008,8016,8044,8046,8069,8070,8072,8076,8078,8081,8086,8112,8131,8150,8163,8255,8299,8341,8404,8406,8415,8422,8436,8454,8464,8926,910322,9802,9904,9907,9910,9914,9915,9917,9921,9925,9930,9933,9938,9939,9940,9941,9945,9958
2025-01,6.58,9.62,13.85,3.09,5.29,13.79,5.91,6.19,2.77,7.38,0.53,,-1.89,0.05,-4.97,-14.52,2.38,-9.08,-12.7,-1.32,-8.42,24.33,-0.57,-52.72,9.84,6.07,9.97,3.55,-3.71,1.5,21.07,15.92,16.11,8.69,,18.74,,-1.11,-6.08,15.89,15.37,-10.93,28.07,5.83,2.12,3.85,,16.7,-1.36,4.45,13.44,-1.32,13.28,,0.82,20.56,10.18,5.86,36.25,-1.69,-356.85,-22.0,2.37,-9.5,-2.25,0.41,1.65,9.21,-5.1,7.7,1.94,11.81,-14.48,7.17,68.87,5.35,4.75,-12.34,8.35,1.45,33.17,8.59,8.53,1.92,9.87,9.57,-32.15,22.1,-1.46,10.06,-5.38,3.6,10.09,16.91,11.8,,2.46,8.81,2.83,-2.39,1.36,,20.78,5.25,48.51,-1.23,-1.72,-17.63,-8.42,-37.44,3.18,,-4.83,13.81,2.06,0.33,,5.82,2.01,1.69,1.79,3.43,2.21,8.52,31.52,10.78,-8.08,21.08,3.74,6.29,5.17,6.45,1.89,14.0,5.07,20.94,,9.21,,-13.83,,4.68,12.42,,16.85,,1.46,19.04,-43.9,1.58,,22.44,,23.64,1.18,16.51,,,20.81,0.8,16.1,,19.6,22.55,,25.18,19.85,,7.52,-42.53,1.09,5.54,5.74,-161.53,,6.66,20.66,6.62,6.25,3.98,14.9,,28.29,35.08,-5.55,35.34,17.94,-1080.91,11.71,-2.19,26.68,-1.81,13.95,13.6,10.61,15.86,10.71,21.14,24.92,33.82,15.2,42.88,2.63,5.71,8.98,26.79,6.43,8.14,20.77,,,,29.81,27.21,,,,20.28,,17.01,18.56,,14.0,,-15.21,,0.03,19.76,37.13,30.19,30.56,28.14,24.32,23.62,15.45,,21.51,25.82,27.72,22.39,17.75,13.79,-12.43,4.28,2.53,-1.35,31.04,14.88,-5.37,,41.75,,2.93,,-1.45,18.69,5.65,12.31,13.03,9.42,21.0,4.96,1.85,4.21,-12.0,16.28,16.65,10.69,-52.77,18.23,4.76,2.29,,-17.25,,9.85,-24.6,-6.06,-32.39,29.55,19.59,5.81,6.81,34.96,22.45,-47.6,4.37,4.25,24.19,57.12,2.48,,22.11,5.67,16.85,18.02,15.59,24.08,,,-2.22,-4.97,,6.28,-53.3,,57.29,8.95,31.56,,1.68,-1.89,,,-25.71,3.42,7.97,6.76,26.9,35.06,,14.25,14.64,-0.19,17.68,,-21.03,,,1.72,2.76,2.18,5.24,-18.47,6.53,-8.46,28.25,12.11,-17.68,11.99,-367.37,-18.91,,-379.91,47.38,-3537.18,,6.11,7.97,14.15,,-754.93,12.03,23.91,16.57,1.25,5.01,3.27,-7.42,0.91,-30.42,2.63,-12.33,10.47,15.83,-0.68,15.99,12.97,11.78,-26.1,,29.99,49.73,,22.99,,18.73,-34.68,-2.57,,3.17,6.74,7.21,11.72,16.28,15.12,-16.52,20.24,-196.63,45.32,-14.49,,,27.42,26.57,17.64,1.05,15.29,-5.41,,14.39,,-23.44,-1.06,9.45,14.95,30.87,13.74,1.11,10.36,3.74,12.43,11.89,5.73,2.03,6.88,4.99,9.99,8.1,19.56,-16.27,14.07,14.68,7.57,-0.46,3.68,,21.35,5.72,6.81,4.41,5.96,33.93,,-1.49,-37.39,27.89,4.1,16.6,27.05,-25962.4,2.16,21.7,17.96,-60.61,-819.39,-28.48,12.89,-8146.51,38.84,-122.48,15.81,20.21,7.02,17.36,11.69,6.72,32.92,-2.11,-7.72,27.73,,11.59,-1.06,0.39,26.64,11.0,5.52,3.55,,21.44,10.25,1.33,6.1,2.1,0.59,11.31,8.39,23.99,20.09,,12.91,41.98,11.02,2.98,28.6,5.56,,7.57,4.44,8.32,6.7,7.97,,17.52,2.52,10.6,12.32,-5.08,21.26,12.51,1.37,14.25,15.98,20.84
2025-02,3.15,13.91,15.22,1.85,4.0,12.88,6.08,4.15,29.96,8.17,3.72,,-3.44,1.98,-6.69,-15.7,-0.84,-7.14,-19.54,-1.66,-19.55,17.55,-3.43,-54.76,6.04,3.54,7.42,3.85,-2.36,0.92,15.45,12.25,13.23,9.47,,17.18,,6.91,-11.03,16.65,16.95,-5.27,30.51,5.03,1.07,2.46,,18.61,-2.99,5.1,8.03,6.9,9.02,,6.79,19.8,10.58,10.74,31.68,-1.26,-321.49,-38.8,4.61,-5.26,-0.22,-1.45,-3.07,11.43,-17.4,8.86,-0.55,13.82,-17.78,8.41,70.14,10.77,0.49,-8.7,7.6,1.9,14.63,5.29,8.58,5.3,10.61,9.41,-17.12,26.92,-5.77,-0.85,-0.59,4.17,9.22,18.41,15.05,,2.89,10.21,3.16,1.18,1.45,,21.49,6.15,49.63,1.81,-2.08,-15.87,-7.09,-22.63,-0.2,,-6.16,13.39,1.46,0.16,,2.74,1.42,1.1,0.95,3.67,1.95,4.17,34.04,10.12,-9.87,20.7,6.14,7.99,11.59,5.18,3.37,12.56,4.05,20.63,,7.83,,-17.06,,-28.23,15.43,,17.51,,2.98,18.53,-42.76,2.17,,22.11,,27.59,2.36,18.47,,,26.02,0.65,24.13,,19.54,17.09,,24.55,17.79,,10.07,-30.73,2.91,5.81,4.25,-120.26,,27.47,22.48,6.53,5.08,4.64,12.99,,20.1,30.51,7.22,31.38,16.45,21.47,12.85,-6.84,16.68,14.01,17.79,14.19,12.53,10.09,11.33,21.63,24.86,35.0,18.83,38.09,3.81,16.86,-0.13,24.01,6.12,8.0,20.49,,,,29.16,30.78,,,,19.06,,19.03,12.58,,12.5,,11.44,,5.52,25.34,25.56,38.04,-87.18,25.62,32.88,26.3,21.28,,14.95,23.91,22.73,22.09,15.31,12.25,131.68,4.43,-5.91,4.76,-125.29,18.01,-11.88,,41.8,,3.47,,-2.76,17.21,9.78,10.9,11.26,9.06,18.44,1.41,1.8,4.65,-41.49,16.33,18.01,10.89,-51.35,15.15,6.92,-0.46,,-10.82,,26.95,-8.99,-3.15,-24.43,7.87,-16.16,6.48,6.16,32.66,25.84,-41.88,1.96,9.58,26.4,63.07,2.47,,10.66,3.14,13.19,16.85,15.46,22.28,,,-1.38,-2.6,,5.77,-45.75,,58.29,6.35,31.17,,0.21,2.69,,,-58.61,1.93,7.48,6.86,34.41,32.8,,12.58,16.93,2.59,14.36,,-14.29,,,1.96,3.59,2.32,4.7,-16.44,6.76,-14.54,26.88,0.97,-28.01,15.47,-190.35,-33.58,,-338.79,49.77,-5358.25,,1.8,7.94,16.43,,-834.77,11.67,26.87,16.68,0.38,4.83,-3.86,-7.99,0.55,-30.6,6.35,-16.67,9.75,17.22,8.39,15.2,9.16,15.27,-13.75,,36.47,52.71,,21.99,,16.21,-33.04,0.51,,3.1,9.39,5.99,12.72,18.2,13.98,-57.37,29.19,-134.0,23.32,-7.31,,,28.13,6.3,17.95,2.21,12.09,-13.1,,21.61,,-25.12,-1.61,7.98,16.97,33.13,10.92,5.42,13.34,6.03,12.72,13.03,4.75,8.34,8.88,4.67,10.17,3.04,23.47,-14.15,13.88,12.57,6.67,1.45,3.2,,20.19,13.94,6.13,-0.77,11.93,30.41,,1.08,-28.53,28.08,4.16,15.23,23.29,-24398.0,-5.08,25.82,20.38,-61.79,-682.98,-42.95,11.16,-8705.91,42.86,-58.7,17.13,17.98,7.2,13.11,16.24,3.4,31.35,-3.75,-15.04,24.82,,11.03,-1.17,3.82,39.55,11.1,5.2,6.64,,23.63,16.25,1.92,-5.87,0.37,1.83,10.79,13.11,22.85,15.2,,19.65,48.34,17.07,2.97,31.09,15.35,,11.22,4.54,7.84,11.45,10.07,,16.07,2.78,9.56,11.77,5.89,14.69,14.05,-0.22,14.18,18.46,29.46
2025-03,13.16,13.5,13.03,1.83,4.38,14.21,5.94,4.46,9.99,7.27,7.39,,-6.44,1.61,-8.05,-13.08,-3.68,-7.36,-25.54,-3.42,-21.11,11.45,-0.31,-70.81,6.25,9.98,7.81,1.43,-5.85,1.58,19.1,12.28,9.44,11.24,,19.11,,12.88,-6.61,15.93,10.31,-5.22,29.84,5.77,-1.56,1.5,,22.33,-5.72,3.12,25.61,3.83,6.29,,6.44,21.75,9.19,-2.72,25.0,1.38,-296.03,26.5,3.14,-11.93,-2.05,-1.76,-4.1,8.82,-13.3,9.49,0.84,15.55,-14.27,6.85,68.1,5.88,1.52,-14.51,8.71,1.9,14.85,6.82,8.12,4.49,8.99,12.24,-6.83,24.64,-4.94,-1.57,-2.73,3.29,10.43,18.8,16.5,,2.82,12.53,3.43,2.1,1.43,,22.86,5.4,50.58,0.48,-0.03,-13.93,-10.75,-26.89,-9.02,,17.01,12.34,2.1,-4.82,,4.07,1.56,2.05,1.4,-0.15,1.74,4.91,28.83,5.6,3.29,26.28,4.12,7.29,9.45,4.32,3.11,10.56,3.71,19.84,,9.5,,-15.34,,-32.4,12.79,,15.24,,-2.14,16.64,5.96,-2.58,,20.89,,26.43,4.29,14.0,,,26.82,0.63,36.82,,15.61,17.44,,23.88,15.19,,8.45,-3.08,2.22,5.41,0.61,-119.21,,14.24,24.07,2.29,4.29,3.65,11.48,,21.3,36.17,18.66,-4.36,21.48,16.08,13.34,-6.76,22.73,14.23,30.13,13.3,13.31,10.49,8.45,23.17,25.64,37.02,15.14,37.63,1.88,29.63,-16.01,21.54,-6.07,7.73,19.74,,,,30.46,25.39,,,,18.62,,20.18,17.37,,13.37,,41.18,,3.0,26.99,29.18,21.22,92.93,26.23,30.21,27.6,21.42,,34.72,27.32,31.63,21.54,14.42,8.4,-22.3,4.26,-7.17,16.02,32.16,15.62,-2.3,,35.44,,4.09,,0.51,20.77,12.27,5.81,8.34,7.81,15.7,1.22,1.72,4.51,-21.9,14.06,18.54,11.06,-56.01,7.34,6.96,-3.21,,-10.23,,18.75,7.35,8.59,-20.32,20.91,-9.56,6.06,9.41,30.77,17.27,-43.56,4.78,13.16,24.32,57.53,1.33,,24.93,0.02,23.43,13.28,12.25,10.5,,,-1.69,-3.63,,5.37,-38.56,,57.57,7.77,29.98,,0.37,-0.41,,,-63.69,-2.2,6.42,6.49,32.78,29.28,,17.61,19.54,2.3,9.15,,-3.44,,,2.19,4.04,7.51,6.75,-13.78,7.83,-15.31,29.01,3.68,-21.66,25.66,-13.01,-18.74,,-609.62,49.46,-4719.73,,2.64,2.88,11.35,,-538.65,6.74,19.16,15.85,1.0,4.88,-7.1,-15.02,1.25,-22.38,9.56,-14.09,6.15,18.56,8.39,13.57,2.69,14.43,5.96,,29.12,52.85,,23.37,,14.83,-16.82,-2.36,,3.22,8.59,6.98,10.57,17.55,8.77,26.82,17.13,-16.26,34.43,1.59,,,26.81,22.08,18.98,2.04,15.66,-15.01,,29.91,,-32.63,-1.6,9.33,18.23,29.94,10.74,8.63,14.78,5.57,9.66,9.61,2.5,0.14,5.77,2.74,10.28,5.48,17.84,-13.82,13.4,15.7,7.38,3.49,2.74,,22.06,11.34,8.0,3.83,12.77,29.94,,-0.92,-26.09,25.27,2.68,8.49,25.42,-21279.39,5.68,24.73,25.49,-5.16,-228.42,-13.4,12.87,-4101.96,35.39,-78.43,16.06,11.74,7.34,11.87,14.69,-0.92,30.2,-14.06,-22.69,23.2,,9.58,-0.82,5.66,34.92,11.49,2.82,0.27,,15.93,19.87,1.63,10.41,6.02,-3.97,3.84,7.85,25.14,18.52,,18.47,34.57,17.45,2.63,29.15,1.2,,7.81,5.08,6.9,9.86,5.89,,15.85,2.58,8.75,10.54,7.16,17.8,14.57,5.66,14.87,17.82,15.03
